Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
zipkin2.SpanTest._Benchmark.benchmark_parentId_sameAsIdCoerseToNull,618326.389,615656.477,617414.118,616691.974,615969.142,614648.011,611041.395,615149.924,617246.077,614861.696,617505.454,616637.597,616629.454,616268.713,615998.367,610377.238,614480.799,613866.034,612483.845,612825.5,614803.157,615541.898,620104.52,619008.13,619133.248,614140.639,615837.279,614622.654,612851.396,617915.079,0.373852339
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_falseOnEmpty_inputSpans_PROTO3,896268.449,891978.756,894902.473,894157.474,893202.964,896464.461,891284.726,895958.185,898182.82,894764.142,891216.53,886805.73,894882.63,894790.877,893273.815,889202.824,883071.16,895028.453,891855.525,895859.367,896240.09,889947.783,897018.975,891665.99,890530.672,894935.316,889439.068,890994.882,893339.675,891875.394,0.366738059
zipkin2.SpanTest._Benchmark.benchmark_normalizeTraceId_padsTo128,655366.739,658526.094,655960.132,657956.863,656530.019,658917.295,652413.285,660834.779,658157.418,657556.232,657877.359,651352.516,659540.784,658818.961,659611.525,656996.624,659726.929,658583.965,657421.175,659695.947,655894.891,657325.528,657128.537,657619.876,658467.342,650941.498,657788.872,654464.742,656733.798,658385.509,0.360840556
zipkin2.SpanTest._Benchmark.benchmark_idFromLong_minValue,652412.315,648910.928,652192.802,649929.601,652654.61,648956.961,652077.687,650495.622,650839.21,647081.267,649763.662,646233.249,646598.405,652509.247,643605.389,644547.097,651743.843,651682.976,649865.468,649001.085,652533.249,650222.253,651993.641,650764.953,649660.582,651020.288,650146.595,651520.498,650915.616,650878.048,0.360755015
zipkin2.codec.V1SpanBytesDecoderTest._Benchmark.benchmark_falseOnEmpty_inputSpans_JSON_V1,872358.371,871368.053,874205.421,877930.883,878607.767,880525.16,878828.797,874214.978,881322.32,878530.564,878880.944,881024.177,875644.351,879093.821,874842.867,878722.604,884017.682,874891.236,882725.095,874298.577,875481.526,881601.548,879512.476,873679.158,879867.755,876439.958,878780.83,880667.251,876212.425,879011.442,0.359630716
zipkin2.SpanTest._Benchmark.benchmark_builder_canUnsetParent,649271.787,650514.71,647606.443,650178.34,648304.412,648784.831,643476.279,646294.022,649284.177,646597.79,649403.196,646989.415,647633.204,648069.464,652777.638,643858.217,650930.796,650885.973,651746.225,650972.955,649524.487,649070.589,651640.779,651172.965,650175.011,651825.824,651067.368,651507.564,651181.155,651934.759,0.357360529
zipkin2.SpanTest._Benchmark.benchmark_remoteEndpoint_emptyToNull,685678.507,689264.286,689002.315,688754.798,686180.48,689435.356,687906.437,684666.012,686844.781,686329.27,690084.356,690434.254,683885.03,681360.043,688116.409,689401.951,688225.199,690472.429,688883.911,683450.638,687783.365,689991.811,686601.4,691506.16,689921.431,690006.389,689414.209,684011.505,688289.277,688382.956,0.355234112
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,750912.363,754296.444,755503.148,754937.279,750496.914,755890.311,755311.452,754459.372,754014.523,758408.075,755283.298,751632.596,753497.947,751679.753,748869.789,757546.684,755354.806,759718.674,756170.872,755481.753,757969.935,756614.927,752083.65,750385.538,758269.154,757720.537,756429.685,755859.484,756306.626,755851.431,0.355183863
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_falseOnEmpty_inputSpans_JSON_V2,880059.304,883909.664,880624.817,881121.572,878717.481,873843.533,877381.95,878619.182,884030.605,884653.501,884342.177,884924.814,877287.148,880271.6,885055.236,884490.675,887153.442,881541.132,882673.355,882143.926,881302.628,880965.887,880824.964,882983.99,884326.275,880699.874,886485.463,885075.051,886214.9,885753.407,0.354637744
zipkin2.EndpointTest._Benchmark.benchmark_newBuilderWithPort_highest,901988.207,901398.514,900225.636,900273.125,900839.636,901509.653,897189.358,902665.219,900355.074,901394.14,901539.268,900479.63,900200.389,898806.695,899163.306,901902.124,898604.491,900735.276,900212.842,901775.139,902882.91,898666.577,895562.436,897722.266,900248.602,902403.54,891405.086,891484.021,891329.175,898947.21,0.353258405
